,team_a,team_b,rating_a,rating_b,is_home_a,score_a,score_b,team_a_win
540,Boston Celtics,Dallas Mavericks,346.55292455883574,307.77531321953904,1,102.0,106.0,6
541,Dallas Mavericks,Boston Celtics,307.77531321953904,346.55292455883574,0,106.0,102.0,8
542,Atlanta Hawks,Sacramento Kings,300.4885617305752,324.1047426928171,1,103.0,97.0,9
543,Sacramento Kings,Atlanta Hawks,324.1047426928171,300.4885617305752,0,97.0,103.0,4
544,Houston Rockets,Portland Trail Blazers,329.62622500333964,319.63288946152426,1,108.0,103.0,5
545,Portland Trail Blazers,Houston Rockets,319.63288946152426,329.62622500333964,0,103.0,108.0,4
546,Oklahoma City Thunder,New Orleans Pelicans,294.59621466306476,229.60233330056062,1,110.0,103.0,7
547,New Orleans Pelicans,Oklahoma City Thunder,229.60233330056062,294.59621466306476,0,103.0,110.0,1
548,San Antonio Spurs,Denver Nuggets,332.79586280606424,310.0394836246852,1,109.0,98.0,9
549,Denver Nuggets,San Antonio Spurs,310.0394836246852,332.79586280606424,0,98.0,109.0,6
550,Utah Jazz,Toronto Raptors,327.5314669314135,298.4801915185631,1,93.0,89.0,6
551,Toronto Raptors,Utah Jazz,298.4801915185631,327.5314669314135,0,89.0,93.0,7
552,Phoenix Suns,Chicago Bulls,346.4240338304472,316.83695639915976,1,97.0,103.0,6
553,Chicago Bulls,Phoenix Suns,316.83695639915976,346.4240338304472,0,103.0,97.0,8
554,Miami Heat,Sacramento Kings,324.17665183035047,285.25874250238394,1,116.0,109.0,7
555,Sacramento Kings,Miami Heat,285.25874250238394,324.17665183035047,0,109.0,116.0,4
556,Cleveland Cavaliers,Milwaukee Bucks,315.4591007340789,313.6269224910543,1,115.0,100.0,9
557,Milwaukee Bucks,Cleveland Cavaliers,313.6269224910543,315.4591007340789,0,100.0,115.0,5
558,LA Clippers,Golden State Warriors,260.5269320962087,420.9265826576174,1,117.0,124.0,6
559,Golden State Warriors,LA Clippers,420.9265826576174,260.5269320962087,0,124.0,117.0,13
560,Charlotte Hornets,Philadelphia 76ers,389.0264720443896,306.70119801987073,1,113.0,88.0,7
561,Philadelphia 76ers,Charlotte Hornets,306.70119801987073,389.0264720443896,0,88.0,113.0,0
562,Boston Celtics,Brooklyn Nets,412.61784851362796,308.10186562383984,1,120.0,95.0,7
563,Brooklyn Nets,Boston Celtics,308.10186562383984,412.61784851362796,0,95.0,120.0,2
564,Memphis Grizzlies,Houston Rockets,268.2196752697141,351.36233406319013,1,96.0,84.0,7
565,Houston Rockets,Memphis Grizzlies,351.36233406319013,268.2196752697141,0,84.0,96.0,5
566,Minnesota Timberwolves,Detroit Pistons,304.1026796180688,305.2335855747799,1,86.0,96.0,5
567,Detroit Pistons,Minnesota Timberwolves,305.2335855747799,304.1026796180688,0,96.0,86.0,7
568,New Orleans Pelicans,San Antonio Spurs,306.50306458830494,389.89106026184805,1,104.0,90.0,2
569,San Antonio Spurs,New Orleans Pelicans,389.89106026184805,306.50306458830494,0,90.0,104.0,9
570,Oklahoma City Thunder,New York Knicks,292.0951557642872,366.3385325105379,1,90.0,93.0,7
571,New York Knicks,Oklahoma City Thunder,366.3385325105379,292.0951557642872,0,93.0,90.0,7
572,Dallas Mavericks,Utah Jazz,342.0297443304931,340.84203979578444,1,102.0,93.0,9
573,Utah Jazz,Dallas Mavericks,340.84203979578444,342.0297443304931,0,93.0,102.0,6
574,Denver Nuggets,Phoenix Suns,313.15812078076175,386.46275605337206,1,107.0,114.0,6
575,Phoenix Suns,Denver Nuggets,386.46275605337206,313.15812078076175,0,114.0,107.0,7
576,Portland Trail Blazers,LA Clippers,321.72267796370767,312.1173116884004,1,102.0,91.0,5
577,LA Clippers,Portland Trail Blazers,312.1173116884004,321.72267796370767,0,91.0,102.0,6
578,Golden State Warriors,Chicago Bulls,402.64738312458115,277.0681771162889,1,106.0,94.0,14
579,Chicago Bulls,Golden State Warriors,277.0681771162889,402.64738312458115,0,94.0,106.0,8
580,Los Angeles Lakers,Toronto Raptors,298.2539311675055,304.2061054788819,1,91.0,102.0,2
581,Toronto Raptors,Los Angeles Lakers,304.2061054788819,298.2539311675055,0,102.0,91.0,8
582,Orlando Magic,Sacramento Kings,388.3837139727063,266.61897225431443,1,91.0,97.0,6
583,Sacramento Kings,Orlando Magic,266.61897225431443,388.3837139727063,0,97.0,91.0,5
584,Indiana Pacers,Milwaukee Bucks,323.17942739255795,360.34301315961085,1,123.0,86.0,8
585,Milwaukee Bucks,Indiana Pacers,360.34301315961085,323.17942739255795,0,86.0,123.0,5
586,Cleveland Cavaliers,Atlanta Hawks,293.9760576468002,372.66450458586377,1,109.0,97.0,10
587,Atlanta Hawks,Cleveland Cavaliers,372.66450458586377,293.9760576468002,0,97.0,109.0,9
588,Detroit Pistons,Washington Wizards,302.15704782968544,314.00629904068796,1,95.0,97.0,7
589,Washington Wizards,Detroit Pistons,314.00629904068796,302.15704782968544,0,97.0,95.0,6
590,Miami Heat,Philadelphia 76ers,334.00931248552666,239.93081877795004,1,96.0,91.0,8
591,Philadelphia 76ers,Miami Heat,239.93081877795004,334.00931248552666,0,91.0,96.0,0
592,Houston Rockets,New York Knicks,279.3482496878859,339.397687019661,1,102.0,107.0,5
593,New York Knicks,Houston Rockets,339.397687019661,279.3482496878859,0,107.0,102.0,8
594,San Antonio Spurs,Memphis Grizzlies,355.7182110489802,235.70385128864615,1,92.0,82.0,10
595,Memphis Grizzlies,San Antonio Spurs,235.70385128864615,355.7182110489802,0,82.0,92.0,7
596,LA Clippers,Toronto Raptors,329.8183627289941,264.28268292934547,1,80.0,91.0,6
597,Toronto Raptors,LA Clippers,264.28268292934547,329.8183627289941,0,91.0,80.0,9
598,Brooklyn Nets,Boston Celtics,279.74595026926727,412.16557130063177,1,111.0,101.0,3
599,Boston Celtics,Brooklyn Nets,412.16557130063177,279.74595026926727,0,101.0,111.0,7
600,New Orleans Pelicans,Phoenix Suns,296.30268600694285,361.39384401520635,1,122.0,116.0,3
601,Phoenix Suns,New Orleans Pelicans,361.39384401520635,296.30268600694285,0,116.0,122.0,7
602,Oklahoma City Thunder,Dallas Mavericks,332.8408573513727,382.84849228684527,1,117.0,114.0,8
603,Dallas Mavericks,Oklahoma City Thunder,382.84849228684527,332.8408573513727,0,114.0,117.0,9
604,Denver Nuggets,Golden State Warriors,274.6272989758161,439.8126584301618,1,105.0,118.0,6
605,Golden State Warriors,Denver Nuggets,439.8126584301618,274.6272989758161,0,118.0,105.0,15
606,Los Angeles Lakers,Portland Trail Blazers,272.9231462397926,291.1604713000254,1,93.0,107.0,2
607,Portland Trail Blazers,Los Angeles Lakers,291.1604713000254,272.9231462397926,0,107.0,93.0,6
608,Charlotte Hornets,Sacramento Kings,324.1327391238285,308.8748722592183,1,127.0,122.0,8
609,Sacramento Kings,Charlotte Hornets,308.8748722592183,324.1327391238285,0,122.0,127.0,5
610,Cleveland Cavaliers,Orlando Magic,313.6029634690358,392.51761719283786,1,117.0,103.0,11
611,Orlando Magic,Cleveland Cavaliers,392.51761719283786,313.6029634690358,0,103.0,117.0,6
612,Miami Heat,New York Knicks,291.453716036127,390.8470927363735,1,95.0,78.0,9
613,New York Knicks,Miami Heat,390.8470927363735,291.453716036127,0,78.0,95.0,8
614,Milwaukee Bucks,Detroit Pistons,363.8177809341007,357.38545108852054,1,109.0,88.0,6
615,Detroit Pistons,Milwaukee Bucks,357.38545108852054,363.8177809341007,0,88.0,109.0,7
616,Minnesota Timberwolves,Philadelphia 76ers,321.1679204560555,238.9928282113641,1,100.0,95.0,6
617,Philadelphia 76ers,Minnesota Timberwolves,238.9928282113641,321.1679204560555,0,95.0,100.0,0
618,San Antonio Spurs,Phoenix Suns,397.880273233772,333.3407581546275,1,98.0,84.0,11
619,Phoenix Suns,San Antonio Spurs,333.3407581546275,397.880273233772,0,84.0,98.0,7
620,Utah Jazz,Oklahoma City Thunder,353.80344910337675,413.1222425972589,1,89.0,111.0,6
621,Oklahoma City Thunder,Utah Jazz,413.1222425972589,353.80344910337675,0,111.0,89.0,9
622,Washington Wizards,Indiana Pacers,332.1382669427747,380.90173904578114,1,106.0,123.0,6
623,Indiana Pacers,Washington Wizards,380.90173904578114,332.1382669427747,0,123.0,106.0,9
624,Atlanta Hawks,Boston Celtics,403.3362194860516,430.0125878347125,1,121.0,97.0,10
625,Boston Celtics,Atlanta Hawks,430.0125878347125,403.3362194860516,0,97.0,121.0,7
626,Memphis Grizzlies,Dallas Mavericks,269.9346849197179,376.73456188891794,1,110.0,96.0,8
627,Dallas Mavericks,Memphis Grizzlies,376.73456188891794,269.9346849197179,0,96.0,110.0,9
628,Denver Nuggets,LA Clippers,295.7814714618727,343.5833132517558,1,94.0,111.0,6
629,LA Clippers,Denver Nuggets,343.5833132517558,295.7814714618727,0,111.0,94.0,7
630,Portland Trail Blazers,Chicago Bulls,264.5392294845097,304.3818413181615,1,88.0,93.0,6
631,Chicago Bulls,Portland Trail Blazers,304.3818413181615,264.5392294845097,0,93.0,88.0,9
632,Golden State Warriors,Los Angeles Lakers,460.27740634617254,371.54232547474714,1,111.0,77.0,16
633,Los Angeles Lakers,Golden State Warriors,371.54232547474714,460.27740634617254,0,77.0,111.0,2
634,Charlotte Hornets,Washington Wizards,297.84658440057376,303.52860179899085,1,101.0,87.0,9
635,Washington Wizards,Charlotte Hornets,303.52860179899085,297.84658440057376,0,87.0,101.0,6
636,Orlando Magic,New York Knicks,393.2169618088515,341.60981085353666,1,100.0,91.0,7
637,New York Knicks,Orlando Magic,341.60981085353666,393.2169618088515,0,91.0,100.0,8
638,Boston Celtics,Philadelphia 76ers,403.4964311834429,243.7523089339723,1,84.0,80.0,8
639,Philadelphia 76ers,Boston Celtics,243.7523089339723,403.4964311834429,0,80.0,84.0,0
640,Detroit Pistons,Miami Heat,350.9104294253919,356.6682049567813,1,104.0,81.0,8
641,Miami Heat,Detroit Pistons,356.6682049567813,350.9104294253919,0,81.0,104.0,9
642,Toronto Raptors,Cleveland Cavaliers,265.2927640316166,295.268972242129,1,103.0,99.0,10
643,Cleveland Cavaliers,Toronto Raptors,295.268972242129,265.2927640316166,0,99.0,103.0,11
644,Houston Rockets,Memphis Grizzlies,316.44537564603604,240.46205993803326,1,93.0,102.0,5
645,Memphis Grizzlies,Houston Rockets,240.46205993803326,316.44537564603604,0,102.0,93.0,9
646,Milwaukee Bucks,Sacramento Kings,301.14498058684126,261.7977909423237,1,118.0,129.0,6
647,Sacramento Kings,Milwaukee Bucks,261.7977909423237,301.14498058684126,0,129.0,118.0,6
648,Minnesota Timberwolves,Atlanta Hawks,308.7581724995853,314.3083053381662,1,99.0,95.0,7
649,Atlanta Hawks,Minnesota Timberwolves,314.3083053381662,308.7581724995853,0,95.0,99.0,10
650,Oklahoma City Thunder,Brooklyn Nets,351.98989603995085,295.1826658520144,1,110.0,99.0,10
651,Brooklyn Nets,Oklahoma City Thunder,295.1826658520144,351.98989603995085,0,99.0,110.0,3
652,San Antonio Spurs,Dallas Mavericks,370.49419779887535,360.82998779605225,1,88.0,83.0,12
653,Dallas Mavericks,San Antonio Spurs,360.82998779605225,370.49419779887535,0,83.0,88.0,9
654,Phoenix Suns,New Orleans Pelicans,335.1978945248277,295.96425229640056,1,114.0,120.0,7
655,New Orleans Pelicans,Phoenix Suns,295.96425229640056,335.1978945248277,0,120.0,114.0,4
656,LA Clippers,Utah Jazz,328.01894762237674,340.854030781688,1,91.0,102.0,7
657,Utah Jazz,LA Clippers,340.854030781688,328.01894762237674,0,102.0,91.0,7
658,Charlotte Hornets,Cleveland Cavaliers,318.96376040704604,318.226768057537,1,90.0,95.0,9
659,Cleveland Cavaliers,Charlotte Hornets,318.226768057537,318.96376040704604,0,95.0,90.0,12
660,Orlando Magic,Milwaukee Bucks,417.38389569633136,362.95562186084146,1,114.0,90.0,8
661,Milwaukee Bucks,Orlando Magic,362.95562186084146,417.38389569633136,0,90.0,114.0,6
662,Boston Celtics,Washington Wizards,405.8016248232561,319.2818347628788,1,111.0,78.0,9
663,Washington Wizards,Boston Celtics,319.2818347628788,405.8016248232561,0,78.0,111.0,6
664,New York Knicks,Miami Heat,361.01104769740095,322.0193716432366,1,78.0,97.0,8
665,Miami Heat,New York Knicks,322.0193716432366,361.01104769740095,0,97.0,78.0,10
666,Indiana Pacers,Chicago Bulls,342.5404614040879,389.8370953809003,1,104.0,92.0,10
667,Chicago Bulls,Indiana Pacers,389.8370953809003,342.5404614040879,0,92.0,104.0,9
668,Houston Rockets,Philadelphia 76ers,316.14697665413695,267.9421006832275,1,116.0,114.0,6
669,Philadelphia 76ers,Houston Rockets,267.9421006832275,316.14697665413695,0,114.0,116.0,0
670,Memphis Grizzlies,Atlanta Hawks,243.55846755565435,317.06287754359005,1,101.0,116.0,9
671,Atlanta Hawks,Memphis Grizzlies,317.06287754359005,243.55846755565435,0,116.0,101.0,11
672,Oklahoma City Thunder,Detroit Pistons,350.82908568528063,272.5548647940077,1,103.0,87.0,11
673,Detroit Pistons,Oklahoma City Thunder,272.5548647940077,350.82908568528063,0,87.0,103.0,8
674,Denver Nuggets,San Antonio Spurs,290.30626779466144,346.9352065224891,1,80.0,91.0,6
675,San Antonio Spurs,Denver Nuggets,346.9352065224891,290.30626779466144,0,91.0,80.0,13
676,Phoenix Suns,Golden State Warriors,384.07981708035567,434.35001833241034,1,116.0,135.0,7
677,Golden State Warriors,Phoenix Suns,434.35001833241034,384.07981708035567,0,135.0,116.0,17
678,Sacramento Kings,Minnesota Timberwolves,320.31366161197025,309.8073347097928,1,91.0,101.0,6
679,Minnesota Timberwolves,Sacramento Kings,309.8073347097928,320.31366161197025,0,101.0,91.0,8
680,LA Clippers,New Orleans Pelicans,341.165851481224,295.79860835972175,1,111.0,90.0,8
681,New Orleans Pelicans,LA Clippers,295.79860835972175,341.165851481224,0,90.0,111.0,4
682,Washington Wizards,Toronto Raptors,279.76521949872085,263.83864802613294,1,82.0,84.0,6
683,Toronto Raptors,Washington Wizards,263.83864802613294,279.76521949872085,0,84.0,82.0,11
684,Cleveland Cavaliers,Brooklyn Nets,349.01345625928434,292.85058446558185,1,90.0,88.0,13
685,Brooklyn Nets,Cleveland Cavaliers,292.85058446558185,349.01345625928434,0,88.0,90.0,3
686,Dallas Mavericks,Denver Nuggets,411.8643391241881,313.12896157163055,1,92.0,81.0,10
687,Denver Nuggets,Dallas Mavericks,313.12896157163055,411.8643391241881,0,81.0,92.0,6
688,San Antonio Spurs,Atlanta Hawks,415.2243725914778,402.6048526372369,1,108.0,88.0,14
689,Atlanta Hawks,San Antonio Spurs,402.6048526372369,415.2243725914778,0,88.0,108.0,11
690,Utah Jazz,New Orleans Pelicans,298.2076459211136,302.3189867102261,1,101.0,87.0,8
691,New Orleans Pelicans,Utah Jazz,302.3189867102261,298.2076459211136,0,87.0,101.0,4
692,Portland Trail Blazers,Los Angeles Lakers,364.4975441094034,262.41407537071547,1,108.0,96.0,7
693,Los Angeles Lakers,Portland Trail Blazers,262.41407537071547,364.4975441094034,0,96.0,108.0,2
694,Golden State Warriors,Sacramento Kings,433.6717904271651,381.6657974371769,1,120.0,101.0,18
695,Sacramento Kings,Golden State Warriors,381.6657974371769,433.6717904271651,0,101.0,120.0,6
696,Charlotte Hornets,Milwaukee Bucks,349.5370547346337,286.59264309670044,1,87.0,82.0,10
697,Milwaukee Bucks,Charlotte Hornets,286.59264309670044,349.5370547346337,0,82.0,87.0,6
698,LA Clippers,Minnesota Timberwolves,332.1537767921988,315.303991212514,1,107.0,99.0,9
699,Minnesota Timberwolves,LA Clippers,315.303991212514,332.1537767921988,0,99.0,107.0,8
700,Brooklyn Nets,Detroit Pistons,291.63007084702974,269.97982215284475,1,87.0,83.0,4
701,Detroit Pistons,Brooklyn Nets,269.97982215284475,291.63007084702974,0,83.0,87.0,8
702,Orlando Magic,Boston Celtics,397.51618873644566,382.0651505720146,1,110.0,91.0,9
703,Boston Celtics,Orlando Magic,382.0651505720146,397.51618873644566,0,91.0,110.0,9
704,Toronto Raptors,Phoenix Suns,327.38410639902605,310.2249051622575,1,102.0,107.0,11
705,Phoenix Suns,Toronto Raptors,310.2249051622575,327.38410639902605,0,107.0,102.0,8
706,Memphis Grizzlies,Philadelphia 76ers,276.46496374231236,265.87095205832935,1,92.0,84.0,10
707,Philadelphia 76ers,Memphis Grizzlies,265.87095205832935,276.46496374231236,0,84.0,92.0,0
708,New York Knicks,Houston Rockets,322.1685640354286,322.9960487587983,1,111.0,116.0,8
709,Houston Rockets,New York Knicks,322.9960487587983,322.1685640354286,0,116.0,111.0,7
710,Los Angeles Lakers,Indiana Pacers,262.83516900187044,293.24558726526357,1,103.0,107.0,2
711,Indiana Pacers,Los Angeles Lakers,293.24558726526357,262.83516900187044,0,107.0,103.0,11
712,Detroit Pistons,Houston Rockets,273.05126343797946,351.25492591435255,1,116.0,105.0,9
713,Houston Rockets,Detroit Pistons,351.25492591435255,273.05126343797946,0,105.0,116.0,7
714,Miami Heat,Boston Celtics,256.88122960499663,344.1171739794376,1,95.0,105.0,10
715,Boston Celtics,Miami Heat,344.1171739794376,256.88122960499663,0,105.0,95.0,10
716,Atlanta Hawks,Oklahoma City Thunder,334.9961790477402,347.42984764920425,1,106.0,100.0,12
717,Oklahoma City Thunder,Atlanta Hawks,347.42984764920425,334.9961790477402,0,100.0,106.0,11
718,Chicago Bulls,San Antonio Spurs,274.81858585521826,342.39419253457424,1,92.0,89.0,10
719,San Antonio Spurs,Chicago Bulls,342.39419253457424,274.81858585521826,0,89.0,92.0,14
720,Milwaukee Bucks,Denver Nuggets,356.312850872391,308.2871335792034,1,92.0,74.0,7
721,Denver Nuggets,Milwaukee Bucks,308.2871335792034,356.312850872391,0,74.0,92.0,6
722,Utah Jazz,Golden State Warriors,292.593455360262,435.09893469573876,1,103.0,106.0,8
723,Golden State Warriors,Utah Jazz,435.09893469573876,292.593455360262,0,106.0,103.0,19
724,Sacramento Kings,Dallas Mavericks,348.9790694741397,406.63001636075234,1,112.0,98.0,7
725,Dallas Mavericks,Sacramento Kings,406.63001636075234,348.9790694741397,0,98.0,112.0,10
726,LA Clippers,Portland Trail Blazers,332.3791331430398,363.80789754566837,1,102.0,87.0,10
727,Portland Trail Blazers,LA Clippers,363.80789754566837,332.3791331430398,0,87.0,102.0,7
728,Cleveland Cavaliers,Washington Wizards,342.80645384795446,277.3250814380071,1,85.0,97.0,13
729,Washington Wizards,Cleveland Cavaliers,277.3250814380071,342.80645384795446,0,97.0,85.0,7
730,Philadelphia 76ers,Los Angeles Lakers,275.7815969352724,291.0612978076394,1,103.0,91.0,1
731,Los Angeles Lakers,Philadelphia 76ers,291.0612978076394,275.7815969352724,0,91.0,103.0,2
732,Brooklyn Nets,Phoenix Suns,287.01016005103884,331.8469407154587,1,94.0,91.0,5
733,Phoenix Suns,Brooklyn Nets,331.8469407154587,287.01016005103884,0,91.0,94.0,8
734,Minnesota Timberwolves,Orlando Magic,297.1193235622162,340.7167196477339,1,93.0,96.0,8
735,Orlando Magic,Minnesota Timberwolves,340.7167196477339,297.1193235622162,0,96.0,93.0,10
736,New Orleans Pelicans,Memphis Grizzlies,344.6076775398089,280.26304644348926,1,104.0,113.0,4
737,Memphis Grizzlies,New Orleans Pelicans,280.26304644348926,344.6076775398089,0,113.0,104.0,11
738,Portland Trail Blazers,Dallas Mavericks,297.37171731573477,317.4057974015662,1,112.0,115.0,7
739,Dallas Mavericks,Portland Trail Blazers,317.4057974015662,297.37171731573477,0,115.0,112.0,11
740,Charlotte Hornets,Golden State Warriors,391.21475299314864,462.75809877142433,1,99.0,116.0,10
741,Golden State Warriors,Charlotte Hornets,462.75809877142433,391.21475299314864,0,116.0,99.0,20
742,Washington Wizards,Los Angeles Lakers,277.3130806851509,263.73309685507627,1,104.0,108.0,7
743,Los Angeles Lakers,Washington Wizards,263.73309685507627,277.3130806851509,0,108.0,104.0,3
744,Detroit Pistons,Phoenix Suns,272.99142015089615,334.01324590939356,1,127.0,122.0,10
745,Phoenix Suns,Detroit Pistons,334.01324590939356,272.99142015089615,0,122.0,127.0,8
746,New York Knicks,Philadelphia 76ers,385.6657776225653,299.53179708987324,1,99.0,87.0,9
747,Philadelphia 76ers,New York Knicks,299.53179708987324,385.6657776225653,0,87.0,99.0,1
748,Atlanta Hawks,Toronto Raptors,331.8290678179403,283.62450950436266,1,86.0,96.0,12
749,Toronto Raptors,Atlanta Hawks,283.62450950436266,331.8290678179403,0,96.0,86.0,12
750,Chicago Bulls,Denver Nuggets,314.14913971413057,338.5934637121626,1,99.0,90.0,11
751,Denver Nuggets,Chicago Bulls,338.5934637121626,314.14913971413057,0,90.0,99.0,6
752,Houston Rockets,New Orleans Pelicans,297.67329280830864,327.6745493393101,1,108.0,101.0,8
753,New Orleans Pelicans,Houston Rockets,327.6745493393101,297.67329280830864,0,101.0,108.0,4
754,San Antonio Spurs,Milwaukee Bucks,382.1322283405345,315.478003851021,1,95.0,70.0,15
755,Milwaukee Bucks,San Antonio Spurs,315.478003851021,382.1322283405345,0,70.0,95.0,7
756,LA Clippers,Indiana Pacers,310.28798629780295,291.39728395084626,1,91.0,103.0,10
757,Indiana Pacers,LA Clippers,291.39728395084626,310.28798629780295,0,103.0,91.0,12
758,Miami Heat,Oklahoma City Thunder,275.9079624649452,344.6802981070266,1,97.0,95.0,11
759,Oklahoma City Thunder,Miami Heat,344.6802981070266,275.9079624649452,0,95.0,97.0,11
760,Toronto Raptors,Denver Nuggets,306.5775978017439,271.3291683823123,1,105.0,106.0,12
761,Denver Nuggets,Toronto Raptors,271.3291683823123,306.5775978017439,0,106.0,105.0,7
762,Utah Jazz,Orlando Magic,311.97824832138633,363.0527399759799,1,94.0,103.0,8
763,Orlando Magic,Utah Jazz,363.0527399759799,311.97824832138633,0,103.0,94.0,11
764,Memphis Grizzlies,San Antonio Spurs,310.48762201770865,402.7761340698141,1,83.0,103.0,11
765,San Antonio Spurs,Memphis Grizzlies,402.7761340698141,310.48762201770865,0,103.0,83.0,16
766,Portland Trail Blazers,Indiana Pacers,302.6597415962992,375.96864483221134,1,123.0,111.0,8
767,Indiana Pacers,Portland Trail Blazers,375.96864483221134,302.6597415962992,0,111.0,123.0,12
768,Sacramento Kings,Boston Celtics,403.26027530662407,420.02527567007166,1,97.0,114.0,7
769,Boston Celtics,Sacramento Kings,420.02527567007166,403.26027530662407,0,114.0,97.0,11
770,New York Knicks,Brooklyn Nets,335.7999576644898,381.3910361719376,1,108.0,91.0,10
771,Brooklyn Nets,New York Knicks,381.3910361719376,335.7999576644898,0,91.0,108.0,5
772,Washington Wizards,Phoenix Suns,208.16996149693747,333.2458693199245,1,109.0,106.0,8
773,Phoenix Suns,Washington Wizards,333.2458693199245,208.16996149693747,0,106.0,109.0,8
774,Detroit Pistons,Milwaukee Bucks,272.16688128945236,300.52698084622114,1,102.0,95.0,11
775,Milwaukee Bucks,Detroit Pistons,300.52698084622114,272.16688128945236,0,95.0,102.0,7
776,Atlanta Hawks,Los Angeles Lakers,333.6589533069823,264.37420221882235,1,100.0,87.0,13
777,Los Angeles Lakers,Atlanta Hawks,264.37420221882235,333.6589533069823,0,87.0,100.0,3
778,Dallas Mavericks,Houston Rockets,325.1191187075866,305.4864954501597,1,96.0,100.0,11
779,Houston Rockets,Dallas Mavericks,305.4864954501597,325.1191187075866,0,100.0,96.0,9
780,New Orleans Pelicans,Cleveland Cavaliers,278.6860364337888,318.39403346279016,1,114.0,108.0,5
781,Cleveland Cavaliers,New Orleans Pelicans,318.39403346279016,278.6860364337888,0,108.0,114.0,13
782,Philadelphia 76ers,Denver Nuggets,231.89577234782175,305.44204650725294,1,105.0,108.0,1
783,Denver Nuggets,Philadelphia 76ers,305.44204650725294,231.89577234782175,0,108.0,105.0,8
784,Toronto Raptors,Golden State Warriors,311.7841274221998,397.21397720429303,1,109.0,112.0,12
785,Golden State Warriors,Toronto Raptors,397.21397720429303,311.7841274221998,0,112.0,109.0,21
786,Miami Heat,Cleveland Cavaliers,316.65498818193436,292.05917694104016,1,99.0,84.0,12
787,Cleveland Cavaliers,Miami Heat,292.05917694104016,316.65498818193436,0,84.0,99.0,13
788,Chicago Bulls,Charlotte Hornets,304.28772164333225,316.57277457027465,1,96.0,102.0,11
789,Charlotte Hornets,Chicago Bulls,316.57277457027465,304.28772164333225,0,102.0,96.0,11
790,Houston Rockets,Sacramento Kings,279.8439285658144,303.2271250181393,1,120.0,113.0,10
791,Sacramento Kings,Houston Rockets,303.2271250181393,279.8439285658144,0,113.0,120.0,7
792,Minnesota Timberwolves,Portland Trail Blazers,312.98457506815254,325.5974819941001,1,103.0,109.0,8
793,Portland Trail Blazers,Minnesota Timberwolves,325.5974819941001,312.98457506815254,0,109.0,103.0,9
794,Milwaukee Bucks,New York Knicks,272.8027461975877,306.67739289609375,1,106.0,91.0,8
795,New York Knicks,Milwaukee Bucks,306.67739289609375,272.8027461975877,0,91.0,106.0,10
796,San Antonio Spurs,Boston Celtics,345.6317763031288,340.3437704699012,1,108.0,105.0,17
797,Boston Celtics,San Antonio Spurs,340.3437704699012,345.6317763031288,0,105.0,108.0,11
798,Utah Jazz,Indiana Pacers,326.4178564025956,292.28663461530834,1,122.0,119.0,9
799,Indiana Pacers,Utah Jazz,292.28663461530834,326.4178564025956,0,119.0,122.0,12
800,LA Clippers,Orlando Magic,265.0923614126359,340.5419164123848,1,103.0,101.0,11
801,Orlando Magic,LA Clippers,340.5419164123848,265.0923614126359,0,101.0,103.0,11
802,Memphis Grizzlies,Phoenix Suns,278.2420049132303,300.68062899743927,1,95.0,93.0,12
803,Phoenix Suns,Memphis Grizzlies,300.68062899743927,278.2420049132303,0,93.0,95.0,8
804,Brooklyn Nets,Golden State Warriors,333.2119338614378,458.1663981257401,1,98.0,114.0,5
805,Golden State Warriors,Brooklyn Nets,458.1663981257401,333.2119338614378,0,114.0,98.0,22
806,Detroit Pistons,Los Angeles Lakers,377.0072637147418,365.70562699412443,1,111.0,91.0,12
807,Los Angeles Lakers,Detroit Pistons,365.70562699412443,377.0072637147418,0,91.0,111.0,3
808,Washington Wizards,Dallas Mavericks,206.42152537848807,301.98300544829226,1,104.0,116.0,8
809,Dallas Mavericks,Washington Wizards,301.98300544829226,206.42152537848807,0,116.0,104.0,12
810,Oklahoma City Thunder,Sacramento Kings,358.00075081597276,297.2904841550296,1,98.0,95.0,12
811,Sacramento Kings,Oklahoma City Thunder,297.2904841550296,358.00075081597276,0,95.0,98.0,7
812,Charlotte Hornets,Detroit Pistons,390.62421333463027,372.6138823093176,1,104.0,84.0,12
813,Detroit Pistons,Charlotte Hornets,372.6138823093176,390.62421333463027,0,84.0,104.0,12
814,Philadelphia 76ers,San Antonio Spurs,257.330410192652,337.47512013553296,1,68.0,119.0,1
815,San Antonio Spurs,Philadelphia 76ers,337.47512013553296,257.330410192652,0,119.0,68.0,18
816,Miami Heat,Washington Wizards,274.39144596866765,218.6404779342313,1,103.0,114.0,12
817,Washington Wizards,Miami Heat,218.6404779342313,274.39144596866765,0,114.0,103.0,9
818,New York Knicks,Dallas Mavericks,386.46909660152755,398.4161354828685,1,97.0,104.0,10
819,Dallas Mavericks,New York Knicks,398.4161354828685,386.46909660152755,0,104.0,97.0,13
820,Toronto Raptors,Los Angeles Lakers,256.2492848092768,275.5512252750219,1,102.0,93.0,13
821,Los Angeles Lakers,Toronto Raptors,275.5512252750219,256.2492848092768,0,93.0,102.0,3
822,Chicago Bulls,Phoenix Suns,305.1263855433901,361.44479230138955,1,101.0,103.0,11
823,Phoenix Suns,Chicago Bulls,361.44479230138955,305.1263855433901,0,103.0,101.0,9
824,Milwaukee Bucks,Portland Trail Blazers,271.4526954171282,302.51837684758306,1,90.0,88.0,9
