,team_a,team_b,rating_a,rating_b,is_home_a,score_a,score_b,team_a_win
65,Chicago Bulls,Minnesota Timberwolves,452.8591467348688,345.17993991011195,0,114.0,105.0,2
66,Milwaukee Bucks,Detroit Pistons,318.9909729474625,391.4632658966572,1,88.0,117.0,0
67,Detroit Pistons,Milwaukee Bucks,391.4632658966572,318.9909729474625,0,117.0,88.0,1
68,Sacramento Kings,Portland Trail Blazers,286.43647319096004,280.2914395230845,1,94.0,90.0,3
69,Portland Trail Blazers,Sacramento Kings,280.2914395230845,286.43647319096004,0,90.0,94.0,1
70,Charlotte Hornets,LA Clippers,344.7679255076852,312.94231913378314,1,106.0,94.0,3
71,LA Clippers,Charlotte Hornets,312.94231913378314,344.7679255076852,0,94.0,106.0,1
72,Houston Rockets,Orlando Magic,406.5952763223521,375.7750870667803,1,119.0,123.0,1
73,Orlando Magic,Houston Rockets,375.7750870667803,406.5952763223521,0,123.0,119.0,2
74,Cleveland Cavaliers,Memphis Grizzlies,270.8183663378078,284.76421651662776,1,81.0,91.0,0
75,Memphis Grizzlies,Cleveland Cavaliers,284.76421651662776,270.8183663378078,0,91.0,81.0,3
76,New York Knicks,Philadelphia 76ers,335.3132767194484,234.64993469781743,1,94.0,88.0,3
77,Philadelphia 76ers,New York Knicks,234.64993469781743,335.3132767194484,0,88.0,94.0,2
78,Toronto Raptors,Minnesota Timberwolves,323.59548595010637,426.62941234109155,1,112.0,105.0,3
79,Minnesota Timberwolves,Toronto Raptors,426.62941234109155,323.59548595010637,0,105.0,112.0,0
80,Miami Heat,San Antonio Spurs,398.0190225765002,479.16197617745974,1,97.0,94.0,1
81,San Antonio Spurs,Miami Heat,479.16197617745974,398.0190225765002,0,94.0,97.0,0
82,Chicago Bulls,New Orleans Pelicans,447.2500499755258,395.4097505980925,1,115.0,123.0,2
83,New Orleans Pelicans,Chicago Bulls,395.4097505980925,447.2500499755258,0,123.0,115.0,2
84,Utah Jazz,Portland Trail Blazers,345.10318435514455,300.0052975375346,1,81.0,88.0,2
85,Portland Trail Blazers,Utah Jazz,300.0052975375346,345.10318435514455,0,88.0,81.0,2
86,Orlando Magic,Miami Heat,412.5286768395582,257.0688110438041,1,95.0,92.0,3
87,Miami Heat,Orlando Magic,257.0688110438041,412.5286768395582,0,92.0,95.0,1
