,game_id,offense_team,defense_team,points_scored,home_team,is_home,yards_gained,yards_allowed,turnovers_given,turnovers_received
0,20230911_BUF@NYJ,NYJ,BUF,22,NYJ,1,289,314,1,4
1,20230911_BUF@NYJ,BUF,NYJ,16,NYJ,0,314,289,4,1
2,20230917_LV@BUF,BUF,LV,38,BUF,1,450,240,0,3
3,20230917_LV@BUF,LV,BUF,10,BUF,0,240,450,3,0
4,20230924_BUF@WSH,WSH,BUF,3,WSH,1,230,386,5,1
5,20230924_BUF@WSH,BUF,WSH,37,WSH,0,386,230,1,5
6,20231001_MIA@BUF,BUF,MIA,48,BUF,1,414,393,0,2
7,20231001_MIA@BUF,MIA,BUF,20,BUF,0,393,414,2,0
8,20231008_JAX@BUF,BUF,JAX,20,BUF,1,388,474,2,2
9,20231008_JAX@BUF,JAX,BUF,25,BUF,0,474,388,2,2
10,20231015_NYG@BUF,BUF,NYG,14,BUF,1,297,317,2,0
11,20231015_NYG@BUF,NYG,BUF,9,BUF,0,317,297,0,2
12,20231022_BUF@NE,NE,BUF,29,NE,1,364,339,1,2
13,20231022_BUF@NE,BUF,NE,25,NE,0,339,364,2,1
14,20231026_TB@BUF,BUF,TB,24,BUF,1,427,302,1,0
15,20231026_TB@BUF,TB,BUF,18,BUF,0,302,427,0,1
16,20231105_BUF@CIN,CIN,BUF,24,CIN,1,397,317,0,2
17,20231105_BUF@CIN,BUF,CIN,18,CIN,0,317,397,2,0
18,20231113_DEN@BUF,BUF,DEN,22,BUF,1,369,300,4,1
19,20231113_DEN@BUF,DEN,BUF,24,BUF,0,300,369,1,4
20,20231119_NYJ@BUF,BUF,NYJ,32,BUF,1,393,155,1,4
21,20231119_NYJ@BUF,NYJ,BUF,6,BUF,0,155,393,4,1
22,20231126_BUF@PHI,PHI,BUF,37,PHI,1,378,505,2,1
23,20231126_BUF@PHI,BUF,PHI,34,PHI,0,505,378,1,2
24,20231210_BUF@KC,KC,BUF,17,KC,1,346,327,2,1
25,20231210_BUF@KC,BUF,KC,20,KC,0,327,346,1,2
26,20231217_DAL@BUF,BUF,DAL,31,BUF,1,351,195,0,1
27,20231217_DAL@BUF,DAL,BUF,10,BUF,0,195,351,1,0
28,20231223_BUF@LAC,LAC,BUF,22,LAC,1,273,335,0,3
29,20231223_BUF@LAC,BUF,LAC,24,LAC,0,335,273,3,0
30,20231231_NE@BUF,BUF,NE,27,BUF,1,281,294,1,4
31,20231231_NE@BUF,NE,BUF,21,BUF,0,294,281,4,1
32,20240107_BUF@MIA,MIA,BUF,14,MIA,1,275,473,2,3
33,20240107_BUF@MIA,BUF,MIA,21,MIA,0,473,275,3,2
34,20240115_PIT@BUF,BUF,PIT,31,BUF,1,368,324,0,2
35,20240115_PIT@BUF,PIT,BUF,17,BUF,0,324,368,2,0
36,20240121_KC@BUF,BUF,KC,24,BUF,1,368,361,0,1
37,20240121_KC@BUF,KC,BUF,27,BUF,0,361,368,1,0
38,20230910_MIA@LAC,LAC,MIA,34,LAC,1,433,536,0,2
39,20230910_MIA@LAC,MIA,LAC,36,LAC,0,536,433,2,0
40,20230917_MIA@NE,NE,MIA,17,NE,1,288,389,2,1
41,20230917_MIA@NE,MIA,NE,24,NE,0,389,288,1,2
42,20230924_DEN@MIA,MIA,DEN,70,MIA,1,726,363,0,3
43,20230924_DEN@MIA,DEN,MIA,20,MIA,0,363,726,3,0
44,20231008_NYG@MIA,MIA,NYG,31,MIA,1,524,268,3,0
45,20231008_NYG@MIA,NYG,MIA,16,MIA,0,268,524,0,3
46,20231015_CAR@MIA,MIA,CAR,42,MIA,1,424,296,1,0
47,20231015_CAR@MIA,CAR,MIA,21,MIA,0,296,424,0,1
48,20231022_MIA@PHI,PHI,MIA,31,PHI,1,355,244,2,1
49,20231022_MIA@PHI,MIA,PHI,17,PHI,0,244,355,1,2
50,20231029_NE@MIA,MIA,NE,31,MIA,1,390,218,2,1
51,20231029_NE@MIA,NE,MIA,17,MIA,0,218,390,1,2
52,20231105_MIA@KC,KC,MIA,21,KC,1,267,292,1,1
53,20231105_MIA@KC,MIA,KC,14,KC,0,292,267,1,1
54,20231119_LV@MIA,MIA,LV,20,MIA,1,422,296,3,3
55,20231119_LV@MIA,LV,MIA,13,MIA,0,296,422,3,3
56,20231124_MIA@NYJ,NYJ,MIA,13,NYJ,1,159,395,2,3
57,20231124_MIA@NYJ,MIA,NYJ,34,NYJ,0,395,159,3,2
58,20231203_MIA@WSH,WSH,MIA,15,WSH,1,245,406,1,0
59,20231203_MIA@WSH,MIA,WSH,45,WSH,0,406,245,0,1
60,20231211_TEN@MIA,MIA,TEN,27,MIA,1,366,403,1,3
61,20231211_TEN@MIA,TEN,MIA,28,MIA,0,403,366,3,1
62,20231217_NYJ@MIA,MIA,NYJ,30,MIA,1,290,103,0,4
63,20231217_NYJ@MIA,NYJ,MIA,0,MIA,0,103,290,4,0
64,20231224_DAL@MIA,MIA,DAL,22,MIA,1,375,339,0,1
65,20231224_DAL@MIA,DAL,MIA,20,MIA,0,339,375,1,0
66,20231231_MIA@BAL,BAL,MIA,56,BAL,1,491,375,1,3
67,20231231_MIA@BAL,MIA,BAL,19,BAL,0,375,491,3,1
68,20240113_MIA@KC,KC,MIA,26,KC,1,409,264,1,1
69,20240113_MIA@KC,MIA,KC,7,KC,0,264,409,1,1
70,20230917_NYJ@DAL,DAL,NYJ,30,DAL,1,382,215,0,4
71,20230917_NYJ@DAL,NYJ,DAL,10,DAL,0,215,382,4,0
72,20230924_NE@NYJ,NYJ,NE,10,NYJ,1,171,358,0,0
73,20230924_NE@NYJ,NE,NYJ,15,NYJ,0,358,171,0,0
74,20231001_KC@NYJ,NYJ,KC,20,NYJ,1,336,401,1,2
75,20231001_KC@NYJ,KC,NYJ,23,NYJ,0,401,336,2,1
76,20231008_NYJ@DEN,DEN,NYJ,21,DEN,1,308,407,3,2
77,20231008_NYJ@DEN,NYJ,DEN,31,DEN,0,407,308,2,3
78,20231015_PHI@NYJ,NYJ,PHI,20,NYJ,1,244,348,0,4
79,20231015_PHI@NYJ,PHI,NYJ,14,NYJ,0,348,244,4,0
80,20231029_NYJ@NYG,NYG,NYJ,10,NYG,1,194,251,0,2
81,20231029_NYJ@NYG,NYJ,NYG,13,NYG,0,251,194,2,0
82,20231106_LAC@NYJ,NYJ,LAC,6,NYJ,1,270,191,3,0
83,20231106_LAC@NYJ,LAC,NYJ,27,NYJ,0,191,270,0,3
84,20231112_NYJ@LV,LV,NYJ,16,LV,1,274,365,2,1
85,20231112_NYJ@LV,NYJ,LV,12,LV,0,365,274,1,2
86,20231203_ATL@NYJ,NYJ,ATL,8,NYJ,1,259,194,3,0
87,20231203_ATL@NYJ,ATL,NYJ,13,NYJ,0,194,259,0,3
88,20231210_HOU@NYJ,NYJ,HOU,30,NYJ,1,347,135,1,0
89,20231210_HOU@NYJ,HOU,NYJ,6,NYJ,0,135,347,0,1
90,20231224_WSH@NYJ,NYJ,WSH,30,NYJ,1,381,245,2,3
91,20231224_WSH@NYJ,WSH,NYJ,28,NYJ,0,245,381,3,2
92,20231228_NYJ@CLE,CLE,NYJ,37,CLE,1,428,360,3,2
93,20231228_NYJ@CLE,NYJ,CLE,20,CLE,0,360,428,2,3
94,20240107_NYJ@NE,NE,NYJ,3,NE,1,119,254,2,1
95,20240107_NYJ@NE,NYJ,NE,17,NE,0,254,119,1,2
96,20230910_PHI@NE,NE,PHI,20,NE,1,382,251,2,1
97,20230910_PHI@NE,PHI,NE,25,NE,0,251,382,1,2
98,20231001_NE@DAL,DAL,NE,38,DAL,1,377,253,0,3
99,20231001_NE@DAL,NE,DAL,3,DAL,0,253,377,3,0
100,20231008_NO@NE,NE,NO,0,NE,1,156,304,3,0
101,20231008_NO@NE,NO,NE,34,NE,0,304,156,0,3
102,20231015_NE@LV,LV,NE,21,LV,1,348,259,1,1
103,20231015_NE@LV,NE,LV,17,LV,0,259,348,1,1
104,20231105_WSH@NE,NE,WSH,17,NE,1,327,432,1,2
105,20231105_WSH@NE,WSH,NE,20,NE,0,432,327,2,1
106,20231112_IND@NE,NE,IND,6,NE,1,340,264,2,1
107,20231112_IND@NE,IND,NE,10,NE,0,264,340,1,2
108,20231126_NE@NYG,NYG,NE,10,NYG,1,220,283,1,3
109,20231126_NE@NYG,NE,NYG,7,NYG,0,283,220,3,1
110,20231203_LAC@NE,NE,LAC,0,NE,1,257,241,1,0
111,20231203_LAC@NE,LAC,NE,6,NE,0,241,257,0,1
112,20231207_NE@PIT,PIT,NE,18,PIT,1,264,303,1,1
